surface,furnished,distance_metro_km,district,rent
20,0,0.2,center,984
35,1,0.1,suburb,1792
50,0,0.8,suburb,1986
45,1,0.5,periphery,2210
28,0,0.3,center,1216
60,1,1.0,suburb,2470
42,0,0.2,periphery,1944
55,1,0.4,center,2218
33,0,1.5,suburb,1420
70,1,0.0,periphery,3000
25,0,0.1,center,1100
40,1,0.6,suburb,1870
65,0,0.9,suburb,2320
48,1,0.3,center,2100
30,0,0.7,periphery,1380
52,1,0.4,suburb,2250
38,0,0.2,center,1650
75,1,1.2,suburb,3150
28,1,0.5,periphery,1500
46,0,0.8,suburb,1800
58,1,0.0,center,2600
22,0,1.0,suburb,1050
62,1,0.7,periphery,2400
36,0,0.4,center,1580
49,1,0.9,suburb,2050
55,0,1.5,periphery,1900
68,1,0.3,center,2850
32,0,0.6,suburb,1520
44,1,0.5,periphery,2000
80,1,1.0,suburb,3400
